pH,DissOxy,IndPct,WellClass,Aquifier,Depth,Distance,MTBE
7.87,0.58,0,Private,Bedrock,60.96,2386.29,0.2
8.63,0.84,0,Private,Bedrock,36.576,3667.69,0.2
7.11,8.37,0,Private,Bedrock,152.4,2324.15,0.2
7.98,0.41,0,Private,Bedrock,*,788.88,0.2
7.88,1.44,0,Private,Bedrock,91.44,1337.88,0.2
8.36,0.18,0,Private,Bedrock,115.824,2396.74,0.2
6.92,1.85,0,Private,Bedrock,92.964,1425.59,0.51
7.15,6.16,1.35,Private,Bedrock,85.344,2053.95,0.2
7.55,3.93,0,Private,Bedrock,*,1672.33,1.32
6.25,7.14,0,Private,Bedrock,48.768,1374.62,0.2
6.81,0.31,0,Private,Bedrock,40.8432,1212.42,0.95
7.02,1.54,0,Private,Bedrock,*,564.99,0.2
8.52,0.22,0,Private,Bedrock,126.492,1530.39,0.2
6.39,1.82,0,Private,Bedrock,76.2,1402.41,0.2
7.37,1.52,0,Private,Bedrock,91.44,2345.26,0.53
7.55,3.03,1.71,Private,Bedrock,*,2319.45,0.2
8.14,0.59,0,Private,Bedrock,92.964,2652,0.2
7.36,0.41,1.91,Private,Bedrock,*,2079.43,0.2
7.95,0.5,0,Private,Bedrock,36.576,1289.45,0.2
8.1,0.3,1.76,Private,Bedrock,55.7784,704.54,0.2
6.91,4.73,7.63,Private,Bedrock,*,534.73,0.2
7.56,0.51,0,Private,Bedrock,42.672,1953.26,2.44
7.15,3.43,0,Private,Bedrock,159.4104,3073.95,0.2
7.82,2,0,Private,Bedrock,*,3758.84,0.2
8.67,2.45,0,Private,Bedrock,115.824,852.4,0.2
7.17,4.31,0,Private,Bedrock,76.2,1846.88,0.2
8.49,8,0,Private,Bedrock,*,2761.02,0.2
7.15,0.34,0,Private,Bedrock,54.864,3660.18,0.2
8.12,0.36,0,Private,Bedrock,91.44,4464.04,0.2
8.48,0.1,0,Private,Bedrock,137.16,4326.18,0.2
7.07,2.95,0,Private,Bedrock,43.2816,1748.02,0.2
7.87,3.29,0,Private,Bedrock,103.632,1643.68,0.31
9.46,7.76,0,Private,Bedrock,129.2352,3060.33,0.2
8.66,1,0,Private,Bedrock,*,1891.51,0.2
7.87,2.21,0,Private,Bedrock,76.2,1714.4,0.97
7.13,2.73,0,Private,Bedrock,60.96,1980.28,0.2
8.08,0.72,2.46,Private,Bedrock,*,495.66,0.2
8.07,0.55,0,Private,Bedrock,48.768,1067.79,1.71
6.56,2.06,2.25,Private,Bedrock,*,1312.44,0.2
7.73,2.29,0,Private,Bedrock,92.3544,3649.14,0.2
7.89,0.44,2.26,Private,Bedrock,110.0328,1632.66,0.2
8.52,0.24,0,Private,Bedrock,98.4504,2378.3,0.2
6.7,4,0,Private,Bedrock,*,1582.48,0.2
7.29,2.46,0,Private,Bedrock,*,1590.87,0.2
6.67,2.38,0,Private,Bedrock,*,2552.87,0.26
9.19,2.67,0,Private,Bedrock,182.88,2685.3,2.67
6.77,0.68,0,Private,Bedrock,*,4671.88,0.2
8.1,0.42,0,Private,Bedrock,*,2277.12,0.2
7.97,0.33,4.41,Private,Bedrock,153.924,1584.78,0.2
8.21,1.83,0.24,Private,Bedrock,68.58,2154.46,0.2
8.32,0.93,0,Private,Bedrock,137.16,3438.3,0.2
8.3,0.5,5.87,Private,Bedrock,*,1542.17,0.2
9.48,0.25,1.16,Private,Bedrock,121.92,296.95,0.33
7.19,2.14,0,Private,Bedrock,76.2,1348.52,0.2
7.06,4.88,0,Private,Bedrock,54.864,582.1,0.2
5.58,2.86,0.56,Private,Bedrock,47.244,384.69,0.2
8.33,0.18,0,Private,Bedrock,153.924,898.79,0.2
7.24,0.39,0,Private,Bedrock,115.824,2167.92,0.24
8.36,0.31,2.66,Private,Bedrock,159.4104,200.47,0.2
8.34,1.69,0,Private,Bedrock,254.508,2806.03,0.2
7.97,0.8,0,Private,Bedrock,*,2530.6,0.2
7.7,1.02,0,Private,Bedrock,111.252,4902.19,0.93
5.62,3.13,1.92,Private,Bedrock,*,1319.92,0.34
6.66,3.61,5.1,Private,Bedrock,67.056,972.24,0.37
5.94,7.86,0,Private,Bedrock,36.2712,1129.44,0.2
8.02,5.78,0,Private,Bedrock,114.3,1519.17,0.2
7.37,5.25,0,Private,Bedrock,30.48,2527.29,0.2
5.83,5.98,0,Private,Bedrock,91.44,3249.34,0.2
