x,y
2569.433,933.266
2664.750,1381.384
2760.066,198.597
2855.382,1286.716
2950.699,1342.914
3046.015,1133.927
3141.332,1794.586
3236.648,2495.926
3331.965,1418.976
3427.281,2189.270
3522.598,1872.051
3617.914,1954.694
3713.231,2229.207
3808.547,1718.367
3903.864,2324.025
3999.180,1437.347
4094.496,2972.099
4189.813,2507.786
4285.129,1631.162
4380.446,1878.508
4475.762,1822.864
4571.079,1277.370
4666.395,2485.173
4761.712,2343.618
4857.028,2508.233
4952.345,2415.347
5047.655,2155.259
5142.972,2364.985
5238.288,2678.978
5333.605,2607.061
5428.921,2751.010
5524.238,2433.826
5619.554,2739.742
5714.871,2709.250
5810.187,3388.057
5905.504,2623.208
6000.820,2384.566
6096.136,2334.644
6191.453,2583.373
6286.769,2808.829
6382.086,3651.056
6477.402,3160.691
6572.719,3090.442
6668.035,3608.126
6763.352,3189.692
6858.668,3295.840
6953.985,3836.690
7049.301,3036.639
7144.618,3684.295
7239.934,4444.273
7335.250,4408.544
7430.567,3741.470
