POSITION,RECALL
1,0.82
1,0.91
1,0.88
1,0.76
1,0.93
1,0.85
1,0.79
1,0.90
1,0.87
1,0.84
1,0.92
1,0.81
1,0.89
1,0.86
1,0.94
1,0.78
1,0.83
1,0.88
2,0.74
2,0.69
2,0.81
2,0.63
2,0.77
2,0.71
2,0.66
2,0.79
2,0.68
2,0.73
2,0.75
2,0.70
2,0.82
2,0.64
2,0.76
2,0.72
2,0.67
2,0.80
3,0.58
3,0.61
3,0.55
3,0.64
3,0.49
3,0.60
3,0.52
3,0.66
3,0.57
3,0.53
3,0.59
3,0.62
3,0.48
3,0.65
3,0.54
3,0.56
3,0.63
3,0.51
4,0.46
4,0.52
4,0.49
4,0.41
4,0.55
4,0.47
4,0.44
4,0.50
4,0.38
4,0.53
4,0.45
4,0.48
4,0.42
4,0.51
4,0.40
4,0.54
4,0.39
4,0.43
5,0.44
5,0.39
5,0.47
5,0.35
5,0.42
5,0.38
5,0.31
5,0.46
5,0.40
5,0.36
5,0.43
5,0.34
5,0.48
5,0.37
5,0.33
5,0.41
5,0.45
5,0.32
6,0.55
6,0.49
6,0.58
6,0.52
6,0.60
6,0.54
6,0.46
6,0.57
6,0.51
6,0.59
6,0.48
6,0.53
6,0.56
6,0.50
6,0.47
6,0.61
6,0.45
6,0.62
7,0.72
7,0.78
7,0.75
7,0.81
7,0.69
7,0.77
7,0.83
7,0.74
7,0.80
7,0.71
7,0.85
7,0.76
7,0.79
7,0.73
7,0.82
7,0.68
7,0.84
7,0.70
8,0.91
8,0.94
8,0.89
8,0.96
8,0.92
8,0.88
8,0.97
8,0.90
8,0.95
8,0.93
8,0.87
8,0.99
8,0.91
8,0.98
8,0.94
8,0.92
8,0.96
8,0.89
9,0.95
9,0.99
9,0.97
9,0.98
9,0.96
9,0.94
9,0.99
9,0.93
9,0.97
9,0.95
9,0.98
9,0.96
9,0.99
9,0.94
9,0.97
9,0.95
9,0.98
9,0.96
