"STUDENT","SELFESTM","BODYSAT","IMPREAL","DESIRE","GENDER"
1,24,3,4,11,0
2,20,3,4,13,0
3,25,4,5,11,0
4,22,9,4,11,1
5,8,1,6,18,0
6,33,7,6,8,1
7,40,9,6,10,1
8,19,3,6,16,0
9,31,3,2,10,0
10,21,1,4,15,0
11,31,5,3,12,0
12,15,1,4,17,0
13,40,9,6,9,1
14,24,1,3,11,0
15,16,1,4,16,0
16,37,8,4,8,1
17,29,9,4,9,1
18,31,6,6,14,0
19,16,1,3,14,0
20,14,1,4,14,0
21,25,4,5,15,0
22,12,1,1,13,0
23,29,2,7,15,0
24,30,9,5,11,1
25,24,6,5,12,1
26,27,3,6,18,0
27,24,6,6,10,1
28,15,1,3,14,0
29,5,1,3,19,0
30,20,1,2,11,0
31,19,1,2,13,0
32,17,2,3,13,1
33,27,5,3,15,0
34,38,9,5,7,1
35,35,8,5,11,1
36,27,3,6,12,0
37,26,3,7,12,0
38,34,6,3,9,0
39,37,8,5,8,1
40,36,8,1,9,1
41,38,7,3,13,0
42,18,1,3,11,0
43,30,9,5,10,1
44,19,1,4,13,0
45,24,3,4,20,0
46,36,9,5,15,1
47,20,2,3,14,0
48,40,9,4,11,1
49,29,5,2,11,1
50,25,3,5,15,0
51,15,1,2,15,0
52,31,8,3,14,1
53,17,2,2,16,0
54,12,1,4,15,0
55,31,3,4,13,0
56,17,1,4,16,0
57,20,2,5,13,0
58,22,2,3,12,0
59,40,9,4,5,1
60,33,9,5,9,1
61,8,1,4,14,0
62,25,5,1,12,1
63,21,3,4,15,0
64,27,3,4,18,0
65,23,7,4,11,1
66,28,8,5,12,1
67,32,9,4,10,1
68,28,4,1,12,0
69,17,2,1,12,0
70,30,8,2,9,1
71,27,5,3,12,0
72,30,4,3,13,0
73,16,1,5,19,0
74,34,9,4,9,1
75,29,9,4,6,1
76,28,5,5,13,1
77,24,8,2,10,1
78,27,2,5,14,0
79,18,1,4,14,0
80,31,9,5,12,1
81,22,3,4,16,0
82,16,1,6,18,0
83,32,9,4,14,1
84,23,5,7,14,0
85,25,7,5,10,1
86,19,3,4,11,1
87,38,9,3,7,1
88,31,7,2,9,1
89,27,3,5,13,0
90,20,1,2,12,0
91,21,3,3,12,0
92,21,1,5,14,0
93,28,7,4,14,0
94,22,4,4,10,0
95,34,9,4,11,1
96,25,8,5,9,1
97,18,1,3,14,0
98,35,7,2,8,1
99,36,9,5,5,1
100,22,3,3,12,0
101,27,6,3,7,1
102,23,4,4,15,0
103,28,4,6,16,0
104,23,3,4,14,0
105,31,4,4,16,0
106,23,1,3,17,0
107,33,3,4,9,0
108,35,5,5,10,0
109,10,1,3,11,0
110,15,1,2,14,0
111,26,4,3,10,0
112,7,1,4,15,0
113,15,1,2,11,0
114,15,1,4,17,0
115,27,8,5,8,1
116,30,9,4,6,1
117,27,4,2,10,0
118,22,6,3,9,1
119,28,4,4,16,0
120,25,1,5,18,0
121,19,1,5,18,0
122,4,1,3,13,0
123,30,6,2,16,0
124,22,6,4,15,1
125,25,3,5,14,0
126,24,5,4,13,1
127,25,1,4,14,0
128,30,9,3,7,1
129,22,4,3,13,0
130,35,9,4,11,1
131,27,1,3,14,0
132,19,7,4,14,0
133,21,1,3,16,0
134,27,7,5,9,1
135,26,1,2,14,0
136,28,1,3,13,0
137,18,2,6,13,0
138,18,5,3,11,1
139,20,1,6,17,0
140,35,8,5,11,0
141,20,1,4,17,0
142,40,9,5,12,1
143,36,8,5,13,1
144,19,2,1,10,0
145,27,4,5,11,0
146,12,1,2,13,0
147,15,1,5,13,0
148,20,1,5,18,0
149,13,1,5,16,0
150,28,4,5,14,0
151,33,7,4,7,1
152,26,7,4,11,1
153,30,9,4,12,1
154,35,5,4,14,0
155,33,8,1,12,1
156,19,2,5,14,0
157,17,1,3,15,0
158,27,4,7,16,0
159,30,2,6,13,0
160,32,9,7,8,1
161,27,2,5,18,0
162,30,8,6,9,1
163,27,9,3,8,1
164,15,1,5,18,0
165,36,9,6,14,1
166,25,3,5,18,0
167,26,4,5,13,0
168,13,5,6,9,1
169,20,3,2,14,0
170,27,8,3,6,1
