Y,X1,X2,X3,X4,X5,X6,X7
128.5,7781,100,886,235,644,56,737
113.6,7004,110,962,388,589,57,1029
146.6,7267,61,1342,398,1081,59,830
124.3,2129,102,1153,457,891,57,1468
100.4,4878,45,803,577,537,49,335
119.2,3999,144,1127,345,563,64,918
109.5,11777,123,627,326,402,60,335
128.5,5764,78,748,161,495,57,962
131.2,7392,172,876,219,823,62,665
112.2,8100,126,685,287,555,86,577
95.4,4736,115,436,235,456,38,214
124.6,4337,110,899,127,573,73,484
103.7,3079,96,570,180,428,59,456
103.6,7273,51,826,118,463,53,907
133.2,4091,116,1060,206,961,67,951
111.4,3390,70,957,284,745,77,1446
97.7,6319,58,559,220,539,41,440
132.1,7447,83,1050,174,553,63,1133
135.9,7100,80,568,124,428,55,456
131.3,8035,115,709,174,498,78,968
150.4,5579,83,568,223,683,79,660
124.9,4338,78,900,115,556,84,555
97,6895,18,442,118,479,41,203
114.1,3629,133,644,155,505,57,781
88.3,5149,92,389,124,405,59,236
117.6,5241,110,612,222,477,55,616
128.2,2917,69,1057,378,970,80,1210
138.8,4390,70,974,195,1027,81,1452
109.5,4957,24,783,358,893,51,616
118.9,7099,130,1419,374,609,62,957
122.2,7337,128,1137,238,461,51,968
142.8,8301,115,946,191,771,74,719
133.9,4889,86,750,214,513,69,489
100.2,6308,81,461,132,430,49,341
116.8,6908,145,864,164,549,57,902
97.3,5345,116,604,127,360,48,126
98,6994,59,714,107,473,53,726
136.5,6781,78,917,171,805,74,1100
111.7,3142,106,809,335,702,70,1721
98.6,5738,27,546,126,455,52,502
116.2,4931,174,891,129,481,71,737
108.9,6501,69,643,129,334,47,473
120.6,5678,94,828,107,384,52,1083
131.8,4619,100,777,164,834,67,841
112.4,1832,124,626,158,571,71,627
92.5,5445,52,432,121,458,42,313
120,4123,84,432,153,544,42,654
112.2,5884,89,1061,100,391,31,280
113,5505,45,562,84,444,36,814
138.7,2882,94,601,139,799,44,907
122.1,2395,89,637,201,747,30,1666
86.6,6847,14,810,230,547,40,614
