x1,x2,x3,y
23.78911,90.58274,58,21
23.78894,90.58341,47,46
23.78812,90.58352,43,35
23.78955,90.58298,121,162
23.79188,90.58521,152,236
23.79222,90.58514,118,79
23.79218,90.58491,143,188
23.79231,90.58522,129,172
23.79068,90.58163,83,137
23.79072,90.58175,78,36
23.79055,90.58159,86,52
23.79081,90.58181,80,50
23.79322,90.58701,136,28
23.79308,90.58684,128,195
23.79311,90.58692,141,171
23.79334,90.58712,132,281
23.78744,90.57983,69,3
23.78759,90.57994,73,-60
23.78751,90.57988,65,155
23.78763,90.57997,71,343
23.79102,90.58411,149,311
23.79118,90.58427,154,182
23.79096,90.58403,146,196
23.79125,90.58431,151,133
23.78944,90.58211,95,137
23.78931,90.58205,92,255
23.78956,90.58222,98,129
23.78938,90.58209,96,95
23.79288,90.58644,134,170
23.79274,90.58631,138,346
23.79296,90.58652,142,147
23.79281,90.58638,137,29
23.78833,90.58074,84,94
23.78841,90.58083,87,81
23.78827,90.58068,82,110
23.78852,90.58091,89,386
23.79365,90.58782,144,171
23.79349,90.58767,139,120
23.79372,90.58788,147,203
23.79357,90.58773,141,121
